date,rain
21/02/2015,0.2
22/02/2015,3.0
23/02/2015,0.2
24/02/2015,1.2
25/02/2015,0.0
26/02/2015,0.8
27/02/2015,0.0
28/02/2015,0.8
01/03/2015,3.200001
02/03/2015,2.4
03/03/2015,0.6
04/03/2015,0.0
05/03/2015,0.0
06/03/2015,0.0
07/03/2015,0.0
08/03/2015,0.2
09/03/2015,2.8
10/03/2015,0.0
11/03/2015,2.4
12/03/2015,0.2
13/03/2015,5.999999
14/03/2015,0.0
15/03/2015,0.0
16/03/2015,2.0
17/03/2015,0.0
18/03/2015,0.2
19/03/2015,0.0
20/03/2015,0.0
21/03/2015,0.0
22/03/2015,0.0
23/03/2015,0.0
24/03/2015,2.4
25/03/2015,0.4
26/03/2015,4.2
27/03/2015,0.0
28/03/2015,1.4
29/03/2015,2.2
30/03/2015,12.59999
31/03/2015,2.0
01/04/2015,2.2
02/04/2015,0.0
03/04/2015,5.599999
04/04/2015,0.2
05/04/2015,0.0
06/04/2015,0.0
07/04/2015,0.2
08/04/2015,0.0
09/04/2015,0.0
10/04/2015,0.0
11/04/2015,0.2
12/04/2015,1.6
13/04/2015,0.2
14/04/2015,0.0
15/04/2015,0.0
16/04/2015,0.0
17/04/2015,0.0
18/04/2015,0.0
19/04/2015,0.6
20/04/2015,0.0
21/04/2015,0.0
22/04/2015,0.0
23/04/2015,0.0
24/04/2015,0.0
25/04/2015,1.4
26/04/2015,0.0
27/04/2015,0.0
28/04/2015,0.4
29/04/2015,2.6
30/04/2015,2.4
01/05/2015,0.0
02/05/2015,0.6
03/05/2015,18.2
04/05/2015,3.200001
05/05/2015,11.99999
06/05/2015,1.0
07/05/2015,0.0
08/05/2015,20.2
09/05/2015,0.2
10/05/2015,0.0
11/05/2015,0.0
12/05/2015,0.6
13/05/2015,0.0
14/05/2015,0.0
15/05/2015,0.0
16/05/2015,0.0
17/05/2015,0.0
18/05/2015,4.6
19/05/2015,3.0
20/05/2015,0.0
21/05/2015,0.0
22/05/2015,0.0
23/05/2015,0.0
24/05/2015,0.6
25/05/2015,0.0
26/05/2015,0.0
27/05/2015,0.6
28/05/2015,0.2
29/05/2015,5.199999
30/05/2015,0.0
31/05/2015,4.8
01/06/2015,9.599996
02/06/2015,0.8
03/06/2015,0.0
04/06/2015,0.0
05/06/2015,0.0
06/06/2015,0.0
07/06/2015,0.0
08/06/2015,0.0
09/06/2015,0.0
10/06/2015,0.0
11/06/2015,0.0
12/06/2015,0.0
13/06/2015,10.59999
14/06/2015,1.2
15/06/2015,0.0
16/06/2015,0.0
17/06/2015,0.0
18/06/2015,0.0
19/06/2015,0.0
20/06/2015,0.6
21/06/2015,3.800001
22/06/2015,3.600001
23/06/2015,0.0
24/06/2015,0.0
25/06/2015,0.0
26/06/2015,0.2
27/06/2015,0.0
28/06/2015,0.6
29/06/2015,0.0
30/06/2015,0.0
01/07/2015,0.2
02/07/2015,2.2
03/07/2015,0.2
04/07/2015,23.40002
05/07/2015,5.999999
06/07/2015,1.6
07/07/2015,3.800001
08/07/2015,2.2
09/07/2015,0.0
10/07/2015,0.0
11/07/2015,0.2
12/07/2015,0.2
13/07/2015,2.8
14/07/2015,0.0
15/07/2015,0.0
16/07/2015,0.0
17/07/2015,1.6
18/07/2015,0.0
19/07/2015,3.800001
20/07/2015,0.6
21/07/2015,0.0
22/07/2015,0.2
23/07/2015,0.2
24/07/2015,0.0
25/07/2015,0.0
26/07/2015,4.8
27/07/2015,18.8
28/07/2015,5.999999
29/07/2015,0.8
30/07/2015,1.8
31/07/2015,0.0
01/08/2015,2.0
02/08/2015,0.2
03/08/2015,0.0
04/08/2015,0.6
05/08/2015,0.2
06/08/2015,0.2
07/08/2015,0.2
08/08/2015,0.0
09/08/2015,0.0
10/08/2015,0.6
11/08/2015,0.0
12/08/2015,0.0
13/08/2015,0.4
14/08/2015,17.39999
15/08/2015,0.2
16/08/2015,0.0
17/08/2015,0.0
18/08/2015,10.79999
19/08/2015,2.2
20/08/2015,0.8
21/08/2015,0.0
22/08/2015,61.80016
23/08/2015,11.19999
24/08/2015,0.2
25/08/2015,0.4
26/08/2015,3.800001
27/08/2015,0.0
28/08/2015,0.0
29/08/2015,0.4
30/08/2015,0.0
31/08/2015,7.799997
01/09/2015,1.8
02/09/2015,3.800001
03/09/2015,0.4
04/09/2015,0.0
05/09/2015,0.4
06/09/2015,0.0
07/09/2015,0.0
08/09/2015,0.2
09/09/2015,0.0
10/09/2015,0.0
11/09/2015,0.2
12/09/2015,6.999998
13/09/2015,0.2
14/09/2015,0.6
15/09/2015,12.99999
16/09/2015,0.2
17/09/2015,0.0
18/09/2015,0.0
19/09/2015,0.2
20/09/2015,0.0
21/09/2015,4.6
22/09/2015,0.4
23/09/2015,0.0
24/09/2015,2.4
25/09/2015,0.2
26/09/2015,0.0
27/09/2015,0.2
28/09/2015,0.2
29/09/2015,0.2
30/09/2015,0.2
01/10/2015,0.0
02/10/2015,0.2
03/10/2015,0.2
04/10/2015,0.0
05/10/2015,3.200001
06/10/2015,16.99999
07/10/2015,13.39999
08/10/2015,0.0
09/10/2015,0.2
10/10/2015,0.0
11/10/2015,0.0
12/10/2015,0.0
13/10/2015,0.2
14/10/2015,0.0
15/10/2015,0.0
16/10/2015,0.2
17/10/2015,0.0
18/10/2015,0.0
19/10/2015,0.0
20/10/2015,0.8
21/10/2015,15.79999
22/10/2015,0.0
23/10/2015,0.0
24/10/2015,1.0
25/10/2015,0.0
26/10/2015,0.0
27/10/2015,0.6
28/10/2015,9.999995
29/10/2015,2.6
30/10/2015,6.199998
31/10/2015,0.0
01/11/2015,0.4
02/11/2015,0.4
03/11/2015,0.4
04/11/2015,0.4
05/11/2015,3.200001
06/11/2015,0.6
07/11/2015,13.79999
08/11/2015,4.2
09/11/2015,0.6
10/11/2015,0.0
11/11/2015,0.0
12/11/2015,3.0
13/11/2015,7.199997
14/11/2015,7.199997
15/11/2015,9.599996
16/11/2015,0.0
17/11/2015,2.0
18/11/2015,3.0
19/11/2015,1.0
20/11/2015,1.0
21/11/2015,5.199999
22/11/2015,2.2
23/11/2015,3.0
24/11/2015,0.2
25/11/2015,0.0
26/11/2015,0.0
27/11/2015,1.8
28/11/2015,12.39999
29/11/2015,12.79999
30/11/2015,7.799997
01/12/2015,4.0
02/12/2015,0.0
03/12/2015,4.2
04/12/2015,0.6
05/12/2015,0.2
06/12/2015,2.0
07/12/2015,0.6
08/12/2015,2.0
09/12/2015,0.2
10/12/2015,4.2
11/12/2015,2.2
12/12/2015,23.00002
13/12/2015,1.2
14/12/2015,0.2
15/12/2015,1.6
16/12/2015,1.4
17/12/2015,0.0
18/12/2015,0.0
19/12/2015,0.0
20/12/2015,0.0
21/12/2015,1.4
22/12/2015,2.8
23/12/2015,2.4
24/12/2015,1.6
25/12/2015,7.799997
26/12/2015,11.19999
27/12/2015,1.0
28/12/2015,0.2
29/12/2015,0.4
30/12/2015,8.999996
31/12/2015,4.4
01/01/2016,3.0
02/01/2016,4.8
03/01/2016,14.59999
04/01/2016,1.4
05/01/2016,8.199997
06/01/2016,4.2
07/01/2016,14.39999
08/01/2016,0.2
09/01/2016,4.2
10/01/2016,1.6
11/01/2016,0.2
12/01/2016,0.6
13/01/2016,0.2
14/01/2016,2.4
15/01/2016,0.4
16/01/2016,0.0
17/01/2016,2.2
18/01/2016,0.0
19/01/2016,0.2
20/01/2016,0.2
21/01/2016,2.0
22/01/2016,7.199997
23/01/2016,2.8
24/01/2016,0.0
25/01/2016,0.0
26/01/2016,0.0
27/01/2016,0.6
28/01/2016,0.6
29/01/2016,1.2
30/01/2016,3.400001
31/01/2016,4.2
01/02/2016,0.2
02/02/2016,0.2
03/02/2016,1.0
04/02/2016,0.4
05/02/2016,2.0
06/02/2016,7.199997
07/02/2016,3.600001
08/02/2016,8.199997
09/02/2016,0.0
10/02/2016,0.0
11/02/2016,0.0
12/02/2016,0.2
13/02/2016,1.0
14/02/2016,0.2
15/02/2016,0.0
16/02/2016,0.6
17/02/2016,13.59999
18/02/2016,0.0
19/02/2016,0.4
20/02/2016,0.2
21/02/2016,2.0
22/02/2016,0.0
23/02/2016,0.0
24/02/2016,0.0
25/02/2016,0.0
26/02/2016,0.0
27/02/2016,0.0
28/02/2016,0.0
29/02/2016,1.2
01/03/2016,1.2
02/03/2016,9.399996
03/03/2016,1.4
04/03/2016,32.40005
05/03/2016,0.6
06/03/2016,0.0
07/03/2016,0.0
08/03/2016,0.8
09/03/2016,21.40001
10/03/2016,0.0
11/03/2016,0.0
12/03/2016,0.0
13/03/2016,0.0
14/03/2016,0.0
15/03/2016,0.0
16/03/2016,0.0
17/03/2016,0.0
18/03/2016,0.0
19/03/2016,0.0
20/03/2016,0.0
21/03/2016,0.0
22/03/2016,0.0
23/03/2016,0.0
24/03/2016,0.0
25/03/2016,0.2
26/03/2016,3.600001
27/03/2016,4.8
28/03/2016,18.6
29/03/2016,4.2
30/03/2016,0.6
31/03/2016,0.0
01/04/2016,0.6
02/04/2016,5.199999
03/04/2016,1.2
04/04/2016,13.99999
05/04/2016,0.2
06/04/2016,2.2
07/04/2016,2.0
08/04/2016,0.2
09/04/2016,3.200001
10/04/2016,0.2
11/04/2016,0.8
12/04/2016,7.599997
13/04/2016,0.2
14/04/2016,0.0
15/04/2016,9.399996
16/04/2016,2.4
17/04/2016,0.0
18/04/2016,0.0
19/04/2016,0.0
20/04/2016,0.0
21/04/2016,0.0
22/04/2016,0.0
23/04/2016,0.2
24/04/2016,0.0
25/04/2016,1.0
26/04/2016,0.4
